"Country","Code","Item","Element","Unit","Value","Flag"
"Afghanistan",845,"Compound feed n.e.c.","export_quantity","tonne",9,"A"
"Afghanistan",845,"Compound feed n.e.c.","export_value","USD",68000,"A"
"Afghanistan",149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","import_quantity","tonne",22,"A"
"Afghanistan",149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","import_value","USD",24000,"A"
"Afghanistan",299,"Melonseed","import_quantity","tonne",2577.45,"A"
"Afghanistan",299,"Melonseed","import_value","USD",2192000,"A"
"Afghanistan",223,"Pistachios, in shell","import_quantity","tonne",640.8,"A"
"Afghanistan",223,"Pistachios, in shell","import_value","USD",6934000,"A"
"Afghanistan",561,"Raisins","import_quantity","tonne",176.5,"A"
"Afghanistan",561,"Raisins","import_value","USD",356000,"A"
"Algeria",1274,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","export_quantity","tonne",4.2,"A"
"Algeria",1274,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","export_value","USD",54000,"A"
"Algeria",191,"Chick peas, dry","export_quantity","tonne",75.02,"A"
"Algeria",191,"Chick peas, dry","export_value","USD",28000,"A"
"Algeria",666,"Chocolate products nes","import_quantity","tonne",278.38,"A"
"Algeria",666,"Chocolate products nes","import_value","USD",639000,"A"
"Algeria",110,"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","import_quantity","tonne",13.24,"A"
"Algeria",110,"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","import_value","USD",29000,"A"
"Algeria",577,"Dates","import_quantity","tonne",0.6,"A"
"Algeria",577,"Dates","import_value","USD",2000,"A"
"Algeria",672,"Extracts, essences and concentrates of tea or mate, and preparations with a basis thereof or with a basis of tea or maté","export_quantity","tonne",2.4,"A"
"Algeria",672,"Extracts, essences and concentrates of tea or mate, and preparations with a basis thereof or with a basis of tea or maté","export_value","USD",29000,"A"
"Algeria",1232,"Food preparations n.e.c.","export_quantity","tonne",0.13,"A"
"Algeria",1232,"Food preparations n.e.c.","export_value","USD",11000,"A"
"Algeria",115,"Food preparations of flour, meal or malt extract","export_quantity","tonne",223.64,"A"
"Algeria",115,"Food preparations of flour, meal or malt extract","export_value","USD",1989000,"A"
"Algeria",631,"Ice and snow","import_quantity","tonne",21,"A"
"Algeria",631,"Ice and snow","import_value","USD",10000,"A"
"Algeria",1182,"Natural honey","export_quantity","tonne",9.21,"A"
"Algeria",1182,"Natural honey","export_value","USD",183000,"A"
"Algeria",22,"Pastry","import_quantity","tonne",220.17,"A"
"Algeria",22,"Pastry","import_value","USD",292000,"A"
"Algeria",235,"Prepared nuts","export_quantity","tonne",0.21,"A"
"Algeria",235,"Prepared nuts","export_value","USD",30000,"A"
"Algeria",164,"Refined sugar","import_quantity","tonne",82367.5,"A"
"Algeria",164,"Refined sugar","import_value","USD",34589000,"A"
"Algeria",31,"Rice, milled","export_quantity","tonne",120,"A"
"Algeria",31,"Rice, milled","export_value","USD",149000,"A"
"Algeria",30,"Rice, paddy (rice milled equivalent)","export_quantity","tonne",120,"E"
"Algeria",30,"Rice, paddy (rice milled equivalent)","export_value","USD",149000,"E"
"Angola",828,"Cigarettes","export_quantity","tonne",102,"A"
"Angola",828,"Cigarettes","export_value","USD",1514000,"A"
"Angola",1232,"Food preparations n.e.c.","export_quantity","tonne",1,"A"
"Angola",1232,"Food preparations n.e.c.","export_value","USD",3000,"A"
"Argentina",44,"Barley","import_quantity","tonne",170000,"A"
