Station,Element,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
Baqura,Mean Sunshine Hours,2018,4.7,5.1,7.8,9.2,9.2,10.7,11.6,10.9,9.8,6.8,5.6,3.9
Baqura,Mean Sunshine Hours,2019,6.4,5.7,5.4,7.5,10.4,8.8,10.9,10.4,9.3,7.2,7.6,4.1
Deir Alla,Mean Sunshine Hours,2018,5.6,4.6,8,8.3,8.3,11.2,11.6,10.9,9.8,7.4,6,4.8
Deir Alla,Mean Sunshine Hours,2019,6.4,6.2,5.1,8.1,10.6,11.1,11.7,11.1,9.8,8.7,8.4,5.6
Er Rabbah,Mean Sunshine Hours,2018,5.7,5.8,9.1,9,9.7,10.6,10.6,9.8,10,7.6,5.5,4
Er Rabbah,Mean Sunshine Hours,2019,5.3,5.6,6,7.9,10.6,11,11.1,10.8,9.7,8.2,7.2,5.1
Shoubak,Mean Sunshine Hours,2018,4.6,5.7,8.6,8.6,8.3,11.5,11.6,11.1,9.8,7.7,5.4,5
Shoubak,Mean Sunshine Hours,2019,5.5,6,6.6,8.6,10.8,11.4,11.6,11.1,10.2,7.9,7.2,5.6
Wadi Dhulall,Mean Sunshine Hours,2018,5,5,8.2,8.4,7.2,10.6,10.6,10,9.5,7.4,5,4
Wadi Dhulall,Mean Sunshine Hours,2019,5.8,5.9,6.6,8.6,9.9,11.1,10.3,9.6,9.8,7.9,7.5,5.6
Wadi El-rayyan,Mean Sunshine Hours,2018,4.2,4.9,7.3,8.4,8,10.3,10.7,10.3,9,6.6,4.9,4.1
Wadi El-rayyan,Mean Sunshine Hours,2019,5.2,5.5,6.1,7.9,10.6,8.2,7.4,10.5,7.3,7.5,6.1,5.8
Qatraneh,Mean Sunshine Hours,2018,5.5,5.7,8.1,9,8.7,11.7,12,11.7,9.6,7.6,6.2,5.6
Qatraneh,Mean Sunshine Hours,2019,6,6.4,7,9,10.9,11.4,12.1,11.5,9.9,7.5,7.1,6.4
Tafileh,Mean Sunshine Hours,2018,4.6,5.5,7.8,8.5,7.9,11.8,11.9,11.2,9.4,7,5.6,5.4
Tafileh,Mean Sunshine Hours,2019,5.8,6.2,6.1,8.2,10.7,11.5,12,11.5,9.7,8,7.9,6.1
Zarqa,Mean Sunshine Hours,2018,5.7,5.3,8.6,8.8,8.6,11.8,11.9,11.2,10.1,7.7,6,5
Zarqa,Mean Sunshine Hours,2019,7.2,6.5,6.6,8.5,10.8,11.7,12.2,11.6,11.2,6.6,7.7,5.7
Salt,Mean Sunshine Hours,2018,4.7,5.4,7.9,8.2,8.6,11.2,11.1,,9.5,7.3,4.8,3.6
Salt,Mean Sunshine Hours,2019,5.5,4.8,4.5,7.5,9.6,11.5,12.4,12.5,10.5,8.4,8.5,5.6
King Hussien International Airport,Mean Sunshine Hours,2018,6.5,6.5,8.9,8.7,7.4,11.5,11.6,11.5,9.7,8.5,7.2,7.1
King Hussien International Airport,Mean Sunshine Hours,2019,5.8,7.9,7.6,9.6,10.6,11.5,11.5,11.2,10.5,8.8,8.3,7.5
Ras Muneef,Mean Sunshine Hours,2018,3.6,4.5,8.1,8.2,7.7,11,11.9,10.9,9.9,6.8,3.7,2
Ras Muneef,Mean Sunshine Hours,2019,4.1,4.4,5.3,7.7,10.7,11.2,11.7,11.2,9.6,5.6,3.1,1.6
Amman Airport,Mean Sunshine Hours,2018,4.8,4.6,8.1,8.4,8.3,11.4,11.9,11.3,9.8,7.2,5.2,4.1
Amman Airport,Mean Sunshine Hours,2019,6.1,5.7,6.3,8.2,10.6,11.5,12.2,11.8,10.4,7.8,7.2,4.5
Mafraq,Mean Sunshine Hours,2018,4.5,4.3,8,8.6,7.1,11.4,11.7,10.5,9.6,4.8,4.5,3.9
Mafraq,Mean Sunshine Hours,2019,6.1,5.5,5.4,7.9,10.2,9.3,11.8,11.1,9.8,7.7,7.7,5.4
Safawi (H5),Mean Sunshine Hours,2018,5.3,5,7.7,7.9,8.1,11.7,11.8,11.5,9.6,6.7,5.3,5.5
Safawi (H5),Mean Sunshine Hours,2019,6.5,6.1,7.4,8.9,10.7,11,11.9,11.3,10.3,8.1,7.4,5.2
Azraq South,Mean Sunshine Hours,2018,6,5.6,8.2,8,6.9,9.7,10,10,9.4,6.4,5.1,5.7
Azraq South,Mean Sunshine Hours,2019,6.8,6.8,7.1,8.1,8.9,9,10,9.9,9.7,8.1,7.9,6.6
Q.A.I.Airport,Mean Sunshine Hours,2018,5.1,5.6,8.1,8.2,7.7,10.7,10.7,10.4,9.5,7.1,5.2,4.4
Q.A.I.Airport,Mean Sunshine Hours,2019,6.1,5.6,6.6,8.3,10.6,10.8,11.5,10.8,10.1,8,7.3,5.9
Ma'an,Mean Sunshine Hours,2018,6.5,6.7,8.5,8.3,8.2,11.5,11.8,11.3,9.2,7.9,7,7.7
Ma'an,Mean Sunshine Hours,2019,6,7.6,8.6,9.1,10.5,10.8,11.7,11.2,10.1,8.5,8.1,6.7
Al Jafer,Mean Sunshine Hours,2018,4.7,4.7,6.8,7,6.4,10.3,10.8,10.5,7.6,6,5,4.6
Al Jafer,Mean Sunshine Hours,2019,3.7,5.6,4.9,7.1,9.2,10.3,10.5,9.4,8.7,6.8,6,4.7
Ghabawi,Mean Sunshine Hours,2018,6,5.8,8.7,8.8,8.4,12.1,12.2,11.6,10.4,8.1,5.8,5.5
Ghabawi,Mean Sunshine Hours,2019,7.4,6.8,7.3,8.9,10.7,11.4,12.3,11.6,10.8,8.6,8.4,6.6
